evse_id,postal_cod,latitude,longitude,port_type,ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10
113025.000000000000000,64120.000000000000000,39.123500999999997,-94.559669000000000,Level 2,"64120",8600000US64120,"64120","21217901","1994001"
113139.000000000000000,64151.000000000000000,39.245728000000000,-94.646652000000003,DC Fast,"64154",8600000US64154,"64154","36046647","115690"
113157.000000000000000,64106.000000000000000,39.099311999999998,-94.581824999999995,DC Fast,"64106",8600000US64106,"64106","3993364","159794"
113857.000000000000000,64139.000000000000000,38.976398000000003,-94.395522999999997,Level 2,"64139",8600000US64139,"64139","10620850","67868"
113871.000000000000000,64106.000000000000000,39.099964000000000,-94.579063000000005,Level 2,"64106",8600000US64106,"64106","3993364","159794"
113875.000000000000000,64106.000000000000000,39.103310000000000,-94.579048000000000,Level 2,"64106",8600000US64106,"64106","3993364","159794"
113895.000000000000000,64105.000000000000000,39.109158000000001,-94.586433000000000,Level 2,"64105",8600000US64105,"64105","1950214","220454"
113901.000000000000000,64111.000000000000000,39.046185000000001,-94.591155999999998,Level 2,"64111",8600000US64111,"64111","7051166","0"
113913.000000000000000,64120.000000000000000,39.131424000000003,-94.525772000000003,Level 2,"64120",8600000US64120,"64120","21217901","1994001"
113947.000000000000000,64132.000000000000000,38.969669000000003,-94.555915999999996,Level 2,"64132",8600000US64132,"64132","26394362","82487"
113951.000000000000000,64120.000000000000000,39.131756000000003,-94.525779999999997,Level 2,"64120",8600000US64120,"64120","21217901","1994001"
113953.000000000000000,64120.000000000000000,39.123325000000001,-94.477196000000006,Level 2,"64120",8600000US64120,"64120","21217901","1994001"
113987.000000000000000,64154.000000000000000,39.251964999999998,-94.654792999999998,Level 2,"64154",8600000US64154,"64154","36046647","115690"
113989.000000000000000,64111.000000000000000,39.053780000000003,-94.595703000000000,Level 2,"64111",8600000US64111,"64111","7051166","0"
114081.000000000000000,64111.000000000000000,39.055655999999999,-94.594002000000003,Level 2,"64111",8600000US64111,"64111","7051166","0"
114083.000000000000000,64105.000000000000000,39.086593999999998,-94.587524000000002,Level 2,"64108",8600000US64108,"64108","9405486","4803"
114087.000000000000000,64106.000000000000000,39.103172000000001,-94.579116999999997,Level 2,"64106",8600000US64106,"64106","3993364","159794"
114091.000000000000000,64105.000000000000000,39.101688000000003,-94.584793000000005,Level 2,"64105",8600000US64105,"64105","1950214","220454"
114093.000000000000000,64127.000000000000000,39.099227999999997,-94.583800999999994,Level 2,"64105",8600000US64105,"64105","1950214","220454"
114095.000000000000000,64127.000000000000000,39.093181999999999,-94.554542999999995,Level 2,"64127",8600000US64127,"64127","10838122","0"
114115.000000000000000,64127.000000000000000,39.093173999999998,-94.554405000000003,Level 2,"64127",8600000US64127,"64127","10838122","0"
114153.000000000000000,64105.000000000000000,39.100861000000002,-94.591926999999998,Level 2,"64105",8600000US64105,"64105","1950214","220454"
114201.000000000000000,64120.000000000000000,39.129489999999997,-94.511482000000001,Level 2,"64120",8600000US64120,"64120","21217901","1994001"
114209.000000000000000,64105.000000000000000,39.099583000000003,-94.586226999999994,Level 2,"64105",8600000US64105,"64105","1950214","220454"
114211.000000000000000,64108.000000000000000,39.070594999999997,-94.584014999999994,Level 2,"64111",8600000US64111,"64111","7051166","0"
114239.000000000000000,64127.000000000000000,39.088726000000001,-94.520195000000001,Level 2,"64127",8600000US64127,"64127","10838122","0"
114243.000000000000000,64105.000000000000000,39.097828000000000,-94.583984000000001,Level 2,"64105",8600000US64105,"64105","1950214","220454"
114253.000000000000000,64116.000000000000000,39.151511999999997,-94.582290999999998,Level 2,"64116",8600000US64116,"64116","28114226","1918265"
114259.000000000000000,64105.000000000000000,39.097824000000003,-94.584038000000007,Level 2,"64105",8600000US64105,"64105","1950214","220454"
114263.000000000000000,64132.000000000000000,38.969048000000001,-94.556053000000006,Level 2,"64132",8600000US64132,"64132","26394362","82487"
114355.000000000000000,64108.000000000000000,39.084479999999999,-94.576042000000001,Level 2,"64108",8600000US64108,"64108","9405486","4803"
114363.000000000000000,64108.000000000000000,39.084457000000000,-94.575989000000007,Level 2,"64108",8600000US64108,"64108","9405486","4803"
114379.000000000000000,64158.000000000000000,39.242252000000001,-94.461044000000001,Level 2,"64158",8600000US64158,"64158","7845421","5816"
114395.000000000000000,64133.000000000000000,39.045254000000000,-94.444496000000001,Level 2,"64133",8600000US64133,"64133","43132780","234135"
114405.000000000000000,64133.000000000000000,39.045200000000001,-94.444496000000001,Level 2,"64133",8600000US64133,"64133","43132780","234135"
114407.000000000000000,64108.000000000000000,39.085155000000000,-94.573502000000005,Level 2,"64108",8600000US64108,"64108","9405486","4803"
114409.000000000000000,64158.000000000000000,39.242252000000001,-94.461121000000006,Level 2,"64158",8600000US64158,"64158","7845421","5816"
114421.000000000000000,64154.000000000000000,39.251938000000003,-94.654792999999998,Level 2,"64154",8600000US64154,"64154","36046647","115690"
114439.000000000000000,64108.000000000000000,39.087398999999998,-94.573684999999998,Level 2,"64108",8600000US64108,"64108","9405486","4803"
